bathroom,kitchen,essentials,safety,other,diabled friendly,service,id,requirement,outdoor amenity,children,income,group
3,1,8,2,0,0,0,20530564,0,0,0,23400.00 ,1
2,1,7,3,0,0,0,17094555,0,0,0,23328.00 ,1
2,1,8,4,0,0,1,17106690,0,0,0,23328.00 ,1
2,1,8,2,1,0,1,8499619,0,0,0,23324.40 ,1
1,7,7,4,0,0,0,7222493,0,0,0,23274.00 ,1
2,1,7,2,0,0,0,20279691,0,1,0,23214.36 ,1
1,1,9,3,0,0,3,18124999,0,0,0,23150.40 ,1
0,1,7,2,0,0,0,13688335,0,1,0,23112.00 ,1
1,8,8,1,1,0,0,17828861,0,0,0,23112.00 ,1
2,8,11,2,1,2,2,18804424,1,0,0,23100.00 ,1
2,1,7,2,0,0,2,1929321,0,0,0,23088.00 ,1
2,1,7,2,0,0,0,11371099,0,0,0,23073.60 ,1
0,1,3,1,1,0,1,663806,0,0,0,23040.00 ,1
2,1,8,2,0,0,1,18582188,0,0,0,23020.80 ,1
0,1,2,0,0,0,0,18570121,0,0,0,22982.40 ,1
2,1,6,0,0,0,0,9427331,0,0,0,22740.00 ,1
2,7,8,4,0,0,3,20793,0,0,0,22727.04 ,1
2,9,10,5,1,0,2,18375685,0,0,0,22712.04 ,1
2,1,5,2,0,0,1,14417798,0,0,0,22680.00 ,1
1,1,6,1,0,0,1,14124666,0,0,0,22626.00 ,1
0,1,5,1,0,0,1,10231294,0,0,0,22521.60 ,1
2,1,7,3,0,0,2,15310220,0,0,0,22510.80 ,1
1,1,4,1,0,0,1,8518878,0,0,0,22500.00 ,1
3,1,6,5,0,0,0,19833001,0,0,0,22464.00 ,1
2,1,8,1,1,0,0,20008186,0,0,0,22425.60 ,1
2,7,8,4,0,0,1,18931423,0,0,0,22392.00 ,1
0,6,4,0,2,0,0,20493987,1,0,0,22392.00 ,1
1,9,4,2,1,0,0,20353738,0,0,0,22370.40 ,1
1,0,8,4,0,0,0,19662549,0,1,0,22344.00 ,1
2,1,8,4,0,1,2,8288098,0,1,0,22335.24 ,1
1,8,7,1,0,0,1,16417951,0,0,0,22275.00 ,1
2,1,7,0,1,0,0,19504462,0,1,0,22275.00 ,1
0,1,1,1,0,0,0,19010965,0,0,0,22248.00 ,1
1,1,5,1,0,0,0,18869812,0,0,0,22230.00 ,1
3,1,10,2,2,0,0,18838712,0,0,0,22199.04 ,1
1,1,7,1,0,0,1,5642809,0,0,0,22176.00 ,1
1,9,6,1,1,0,3,11243074,0,1,0,22176.00 ,1
0,1,7,0,1,0,0,14768563,0,0,0,22140.00 ,1
2,1,7,4,1,0,0,17122054,0,0,0,22140.00 ,1
2,1,7,4,0,0,1,17513483,0,0,0,22090.80 ,1
0,1,5,0,1,0,0,18598767,0,0,0,22080.60 ,1
0,0,4,2,0,0,0,5572024,0,0,0,22080.00 ,1
1,1,7,2,0,0,0,20286116,0,0,0,22050.00 ,1
0,1,5,1,1,0,0,4476605,0,0,0,22037.40 ,1
2,1,4,4,0,0,1,17263707,0,0,0,21996.36 ,1
2,1,8,2,1,0,1,12366163,0,0,0,21996.00 ,1
2,1,6,4,0,0,0,17607132,0,0,0,21979.20 ,1
0,0,4,0,1,0,0,1747833,0,0,0,21821.40 ,1
1,1,3,1,0,0,0,18089696,0,0,0,21816.72 ,1
2,1,9,3,0,0,1,9046203,0,0,0,21744.00 ,1
3,1,9,1,0,0,1,4726516,0,0,0,21720.00 ,1
2,1,8,5,0,0,0,18610595,0,0,0,21708.00 ,1
1,1,9,1,0,0,1,2569973,0,0,0,21687.12 ,1
2,1,5,2,0,0,0,4098271,0,0,0,21600.00 ,1
0,5,4,3,0,0,0,20827801,0,0,0,21600.00 ,1
1,1,7,3,0,0,0,16147164,0,0,0,21556.80 ,1
1,1,7,0,0,0,1,16287176,0,0,0,21540.00 ,1
1,1,6,4,1,0,0,19221317,0,0,0,21528.00 ,1
1,1,6,0,0,0,0,4948527,0,0,0,21444.48 ,1
2,1,4,1,0,0,0,19530271,0,0,0,21362.40 ,1
0,0,5,2,0,0,0,16507990,0,0,0,21312.00 ,1
1,1,6,0,1,0,0,7775627,0,1,0,21306.00 ,1
0,1,3,1,0,0,0,19856802,0,0,0,21268.80 ,1
1,0,5,1,0,0,0,18071406,0,0,0,21240.96 ,1
3,1,9,0,1,0,1,9737352,0,0,0,21240.00 ,1
2,8,10,3,1,0,1,18717419,0,0,0,21185.76 ,1
2,1,9,3,0,0,0,13591923,0,1,0,21114.00 ,1
2,1,6,1,1,0,1,19323884,0,0,0,21000.00 ,1
2,1,6,4,0,0,0,20124537,0,0,0,21000.00 ,1
1,1,4,2,0,0,0,19733889,0,0,0,20989.80 ,1
2,1,7,1,0,0,1,9902123,0,0,0,20988.96 ,1
2,1,7,1,1,0,0,20460427,0,0,0,20968.20 ,1
0,1,8,1,0,0,0,11888603,0,0,0,20952.00 ,1
0,7,11,1,0,0,1,20399073,0,0,0,20916.00 ,1
0,1,6,3,0,0,0,8101762,0,0,0,20826.00 ,1
1,0,4,2,1,0,0,20123853,0,0,0,20823.36 ,1
2,1,4,1,0,0,0,19701453,0,0,0,20811.60 ,1
2,1,6,3,0,0,1,15056492,0,0,0,20790.00 ,1
0,0,4,3,0,0,0,5031539,0,0,0,20777.76 ,1
2,1,7,1,1,0,0,15043427,0,0,0,20723.04 ,1
0,1,5,0,0,0,0,19475198,0,0,0,20700.00 ,1
0,1,11,2,1,1,0,1082139,0,2,0,20625.00 ,1
0,1,3,1,0,0,0,7988385,0,0,0,20484.00 ,1
1,0,6,2,0,0,2,10482409,0,0,0,20463.00 ,1
0,0,5,1,1,0,0,15719905,0,0,0,20448.00 ,1
2,1,7,2,0,0,0,15620833,0,0,0,20386.80 ,1
1,1,8,0,0,0,0,20591509,0,0,0,20330.16 ,1
2,1,5,1,0,0,0,16945684,0,0,0,20268.00 ,1
2,0,4,2,0,0,1,8956096,0,0,0,20160.00 ,1
2,1,9,1,0,0,2,14024900,0,0,0,20160.00 ,1
0,1,5,2,0,0,0,15973697,0,0,0,20160.00 ,1
0,1,6,2,1,0,0,20533007,0,0,0,20160.00 ,1
1,1,8,1,1,0,0,11503509,0,0,0,20088.00 ,1
2,1,5,2,2,0,0,19672857,0,0,0,20077.20 ,1
1,1,5,1,0,0,0,19940410,0,0,0,20013.84 ,1
1,1,3,1,1,0,0,20149677,0,0,0,19940.04 ,1
0,1,5,4,0,0,1,17891586,0,0,0,19838.88 ,1
1,1,6,1,0,0,0,9768492,0,0,0,19800.00 ,1
1,1,5,0,0,0,0,12998169,0,0,0,19800.00 ,1
0,1,6,3,0,0,0,4658860,0,0,0,19728.00 ,1
1,0,5,1,0,0,0,15255254,0,0,0,19728.00 ,1
0,1,4,0,1,0,0,14347502,0,0,0,19656.00 ,1
2,1,10,4,0,0,2,15040838,0,0,0,19640.64 ,1
2,1,7,2,0,0,1,16178326,0,0,0,19626.36 ,1
1,1,6,2,1,0,1,1600917,0,1,0,19608.00 ,1
0,1,5,2,1,0,0,5606308,0,0,0,19559.52 ,1
1,1,5,2,0,0,0,16164856,0,0,0,19487.16 ,1
2,1,8,0,0,0,1,505835,0,0,0,19465.92 ,1
2,1,3,1,0,0,0,19913714,0,0,0,19440.00 ,1
2,1,7,4,0,0,2,19532907,0,0,0,19375.20 ,1
2,1,7,0,0,0,1,12087785,0,0,0,19282.08 ,1
1,1,8,2,0,0,0,5979675,0,1,0,19278.00 ,1
0,0,0,0,0,0,0,18550332,0,0,0,19224.60 ,1
1,8,9,4,0,0,1,19676100,0,1,1,19200.00 ,1
0,0,0,0,0,0,0,11080173,0,0,0,19181.28 ,1
1,7,10,1,0,0,1,783202,0,0,1,19120.08 ,1
1,0,10,3,0,0,0,14726498,0,0,0,19097.28 ,1
2,1,4,1,0,0,0,15529937,0,0,0,19084.68 ,1
2,9,10,4,0,0,0,18359326,0,0,0,19074.24 ,1
1,1,4,1,0,0,1,14039050,0,0,0,19062.00 ,1
0,1,9,2,0,0,0,18462008,0,0,0,18936.00 ,1
2,1,6,5,0,0,2,20385467,0,1,0,18922.08 ,1
2,1,8,1,1,0,0,20582155,0,0,0,18912.60 ,1
1,1,7,2,0,0,0,3749971,0,0,0,18864.72 ,1
2,1,11,2,1,1,0,15234771,0,0,0,18864.00 ,1
1,1,5,0,0,0,0,5319785,0,0,0,18849.60 ,1
2,0,6,3,0,0,0,19701412,0,0,0,18769.68 ,1
0,1,7,2,0,0,0,4710102,0,0,0,18765.00 ,1
1,1,5,2,0,0,0,18493375,0,0,0,18745.20 ,1
1,1,4,0,0,0,1,15271865,0,0,0,18720.00 ,1
2,1,6,1,0,0,0,19071262,0,0,0,18652.80 ,1
2,1,8,1,0,0,2,2657791,0,0,0,18600.00 ,1
0,1,3,2,1,0,0,15229865,0,0,0,18597.60 ,1
1,6,8,3,3,3,1,15815905,1,0,1,18585.84 ,1
2,1,7,1,0,0,0,16099007,0,0,0,18585.84 ,1
2,1,7,1,1,0,1,15506009,0,0,0,18564.00 ,1
2,1,3,1,0,0,0,13137538,0,0,0,18480.00 ,1
0,0,3,3,0,0,0,14827265,0,0,0,18480.00 ,1
2,1,8,2,0,0,2,14919110,0,0,0,18432.00 ,1
1,1,6,2,0,0,1,17938886,0,0,0,18432.00 ,1
1,1,11,3,1,0,1,10984999,0,0,0,18396.00 ,1
0,1,5,1,1,0,0,14110144,0,0,0,18323.28 ,1
0,0,1,1,0,0,0,4861046,0,0,0,18287.04 ,1
1,1,10,2,1,0,0,11343331,0,0,0,18285.84 ,1
0,1,4,2,0,0,0,19971005,0,0,0,18174.00 ,1
0,1,10,1,1,0,0,769279,0,1,0,18146.52 ,1
2,1,4,2,0,0,1,17988147,0,0,0,18146.52 ,1
3,1,7,1,0,0,0,10074282,0,0,0,18144.00 ,1
1,1,5,3,0,0,0,7482448,0,0,0,18143.64 ,1
1,0,10,3,1,0,1,11891606,0,1,0,18130.32 ,1
0,0,0,0,0,0,0,10099859,0,0,0,18120.00 ,1
0,1,3,1,0,0,1,18794243,0,0,0,18098.64 ,1
2,1,7,2,0,0,1,19037029,0,0,0,18057.60 ,1
1,1,4,1,0,0,0,7775711,0,0,0,18023.88 ,1
2,7,8,4,2,0,1,20773604,0,0,0,18000.00 ,1
1,1,6,1,0,0,0,20886923,0,0,0,18000.00 ,1
2,9,12,3,1,1,1,19838373,1,0,0,17982.00 ,1
0,1,8,2,0,0,0,20054159,0,0,0,17952.00 ,1
1,1,4,1,0,0,0,20617625,0,0,0,17917.20 ,1
1,1,9,1,1,0,0,2617406,0,0,0,17912.40 ,1
2,1,7,1,1,0,1,20396489,0,0,0,17865.12 ,1
1,1,7,2,0,0,0,11077282,0,1,0,17856.00 ,1
1,1,4,1,0,0,1,18793151,0,0,0,17820.00 ,1
2,0,6,3,1,0,0,15298236,0,0,0,17810.40 ,1
2,1,11,1,1,0,2,1511730,0,0,0,17784.36 ,1
2,1,4,0,0,0,0,17905479,0,0,0,17784.36 ,1
0,1,3,1,0,0,0,9710117,0,0,0,17763.48 ,1
2,1,7,0,1,0,1,16412267,0,0,0,17663.88 ,1
1,0,3,3,1,0,0,15629616,0,0,0,17610.84 ,1
0,1,8,2,1,0,0,12855566,0,1,0,17604.00 ,1
1,1,5,1,0,0,0,7895104,0,1,0,17568.00 ,1
2,1,5,1,0,0,0,14284950,0,0,0,17556.00 ,1
0,1,6,3,0,0,0,19863486,0,0,0,17515.80 ,1
0,1,7,1,1,0,0,13451599,0,1,0,17496.00 ,1
2,1,8,1,1,0,3,13441847,0,1,0,17479.92 ,1
1,7,7,2,1,0,1,18593003,0,0,0,17476.20 ,1
2,1,7,4,0,0,2,17690699,0,0,0,17460.00 ,1
0,1,6,1,0,0,0,5660972,0,0,0,17442.00 ,1
2,0,4,1,0,0,0,17569873,0,0,0,17430.72 ,1
1,1,5,1,0,0,0,19737908,0,0,0,17404.80 ,1
2,1,9,4,2,1,2,18506292,0,0,0,17400.00 ,1
2,1,6,2,1,1,1,20614820,0,0,0,17388.00 ,1
1,1,6,3,0,0,0,8473374,0,0,0,17316.00 ,1
2,1,3,0,0,0,0,15390431,0,0,0,17310.60 ,1
1,1,9,2,1,0,0,9606425,0,0,0,17304.00 ,1
1,1,7,2,1,0,0,20406627,0,0,0,17296.44 ,1
1,9,12,2,1,0,1,20459639,1,0,0,17280.00 ,1
1,1,7,4,1,0,1,13083988,0,1,0,17262.00 ,1
2,1,9,3,1,0,1,15510959,0,0,0,17222.40 ,1
0,1,6,1,1,0,0,12865332,0,0,0,17220.00 ,1
0,1,6,2,0,0,0,20163899,0,0,0,17172.48 ,1
0,0,7,1,1,0,1,14851911,0,0,0,17172.00 ,1
0,3,9,3,0,0,1,19734492,0,1,0,17156.40 ,1
2,1,9,2,0,0,0,8815120,0,0,0,17138.04 ,1
2,1,5,1,0,0,1,14094264,0,0,0,17136.00 ,1
0,1,9,1,0,0,0,15982472,0,0,0,17088.00 ,1
3,0,5,0,0,0,0,17356593,0,1,0,17031.60 ,1
2,1,5,1,1,0,0,17323054,0,0,0,16990.92 ,1
2,1,6,1,0,0,1,20325395,0,1,0,16974.00 ,1
0,1,8,2,1,0,0,5561046,0,0,0,16956.00 ,1
2,1,9,0,0,0,1,10488915,0,0,0,16956.00 ,1
1,1,5,1,1,0,1,19571955,0,0,0,16956.00 ,1
1,8,4,1,0,0,1,20503443,0,0,0,16949.40 ,1
1,1,10,1,0,0,1,11496607,0,0,0,16947.60 ,1
0,1,7,4,0,0,1,8649144,0,0,0,16926.00 ,1
2,1,8,1,1,0,1,13812391,0,0,0,16924.80 ,1
1,1,8,1,1,0,0,13527740,0,1,0,16919.76 ,1
2,1,9,4,0,0,1,15936167,0,0,0,16907.40 ,1
2,1,8,1,0,0,0,20703941,0,0,0,16904.16 ,1
2,8,13,1,1,0,2,15007810,0,0,0,16827.72 ,1
2,1,10,1,1,0,0,14796238,0,0,0,16826.40 ,1
0,0,5,1,0,0,1,17508923,0,0,0,16816.80 ,1
2,1,11,1,1,1,1,919955,0,0,0,16805.88 ,1
2,1,10,4,0,0,2,15302392,0,0,0,16800.00 ,1
1,1,3,2,0,0,0,18388982,0,0,0,16800.00 ,1
2,1,6,3,0,0,1,18558228,0,0,0,16800.00 ,1
1,9,8,2,1,2,1,19571227,1,0,0,16800.00 ,1
0,1,3,2,1,0,0,9513357,0,0,0,16793.88 ,1
2,9,9,1,2,0,2,20883973,0,1,0,16752.00 ,1
2,1,5,1,0,0,0,14255187,0,0,0,16720.08 ,1
0,0,3,1,0,0,0,13183836,0,0,0,16699.20 ,1
2,1,3,1,0,0,0,19759718,0,0,0,16692.24 ,1
1,1,7,3,0,0,1,1399352,0,1,0,16675.20 ,1
1,1,6,1,0,0,0,15150200,0,0,0,16674.00 ,1
2,1,9,1,1,0,0,15706750,0,1,0,16653.00 ,1
0,1,5,0,0,0,0,18039329,0,0,0,16648.92 ,1
2,1,8,1,0,0,0,8905281,0,0,0,16648.32 ,1
1,1,6,0,0,0,1,10247072,0,0,0,16638.00 ,1
0,1,6,0,1,0,0,8814070,0,0,0,16632.00 ,1
2,0,8,5,0,0,0,19636069,0,1,0,16608.00 ,1
2,1,8,1,1,0,1,2288762,0,0,0,16590.00 ,1
0,1,4,0,0,0,0,16351180,0,0,0,16560.00 ,1
2,1,8,1,0,0,0,18191892,0,1,0,16554.72 ,1
2,0,2,2,0,0,0,12970855,0,0,0,16504.80 ,1
2,7,7,2,1,3,1,14800184,0,1,0,16503.84 ,1
1,1,6,1,0,0,0,19546828,0,0,0,16496.64 ,1
0,1,3,2,0,0,0,17569246,0,0,0,16470.72 ,1
2,1,5,2,0,0,0,15773388,0,0,0,16422.00 ,1
2,1,9,4,1,0,1,1931855,0,1,0,16416.00 ,1
1,1,6,1,0,0,0,18209634,0,0,0,16416.00 ,1
2,1,6,0,0,0,0,8252369,0,1,0,16380.00 ,1
2,7,10,4,1,0,2,19801076,0,1,0,16380.00 ,1
2,1,7,3,0,0,2,11303867,0,0,0,16368.00 ,1
0,1,2,2,0,0,1,13443794,0,0,0,16356.00 ,1
0,1,4,1,0,0,0,3198065,0,0,0,16341.00 ,1
0,1,6,2,0,0,0,4339188,0,1,0,16324.56 ,1
0,1,4,3,0,0,0,18490141,0,1,0,16315.20 ,1
2,1,11,3,0,0,0,512209,0,2,0,16291.32 ,1
1,1,7,2,1,0,0,18595872,0,0,0,16254.00 ,1
0,1,7,1,1,1,0,9556983,0,1,0,16253.64 ,1
2,1,5,1,1,0,0,9940253,0,1,0,16240.80 ,1
0,1,7,1,0,0,0,17987548,0,0,0,16236.00 ,1
1,1,8,3,1,0,0,14245494,0,0,0,16228.80 ,1
0,1,4,2,0,0,1,13044203,0,0,0,16200.00 ,1
1,8,10,1,1,0,1,20787119,0,0,0,16200.00 ,1
1,1,5,3,1,0,1,13658407,0,0,0,16192.68 ,1
1,1,4,3,1,0,0,18682381,0,0,0,16185.00 ,1
2,1,5,1,0,0,0,19190170,0,0,0,16142.88 ,1
2,1,9,3,0,0,0,14503905,0,1,0,16097.40 ,1
1,1,9,1,1,0,0,6209619,0,0,0,16086.00 ,1
2,1,10,1,1,0,1,9218142,0,1,0,16075.80 ,1
0,1,6,1,0,0,0,19381437,0,0,0,16067.04 ,1
1,1,9,1,0,0,0,9393134,0,0,0,16037.28 ,1
2,8,9,3,0,0,3,19749799,0,0,0,15960.00 ,1
0,1,7,2,0,0,1,11826465,0,0,0,15951.00 ,1
2,1,11,4,1,0,1,4889629,0,1,0,15940.08 ,1
2,1,9,2,0,0,0,18077560,0,0,0,15879.00 ,1
0,1,5,1,1,0,1,16416588,0,0,0,15876.00 ,1
1,1,5,1,0,0,0,16719453,0,0,0,15873.00 ,1
1,1,3,0,0,0,0,5999400,0,0,0,15840.00 ,1
1,1,5,1,1,0,0,9428684,0,0,0,15840.00 ,1
1,1,11,1,0,0,0,1974700,0,0,0,15832.08 ,1
1,9,7,4,1,0,2,20087736,0,1,4,15806.52 ,1
2,1,8,1,0,0,0,1066769,0,0,0,15774.00 ,1
2,1,8,2,0,0,1,16381008,0,0,0,15769.44 ,1
1,1,7,3,1,1,1,11546462,0,0,0,15769.08 ,1
2,1,7,1,0,0,0,16228697,0,0,0,15768.00 ,1
1,1,5,1,1,0,0,17187942,0,0,0,15768.00 ,1
0,1,9,2,0,0,0,4809457,0,0,0,15705.60 ,1
1,1,8,1,2,0,0,4720121,0,0,0,15678.00 ,1
1,1,6,2,1,0,0,16998200,0,0,0,15648.00 ,1
2,1,5,4,0,0,0,19549649,0,0,0,15627.24 ,1
1,1,9,0,1,0,1,4970846,0,0,0,15615.00 ,1
